Dosya;Gemini 3.1 Pro;ChatGPT 5.5 Thinking;Claude Sonnet 4.6;Claude Haiku 4.5;Claude Sonnet 4.5;Gemini 3.1 Thinking;ChatGPT 5.4 Thinking;ChatGPT o3
Y49.JPG;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
Y50.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y51.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y52.jpg;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
Y53.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y54.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y55.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y56.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y58.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y59.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y60.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y61.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y62.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y65.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y66.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y67.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y69.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y70.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y71.JPG;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
Y73.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y74.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y75.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y76.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y77.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y78.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y79.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y81.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y82.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y85.JPG;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
Y86.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y89.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y90.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y91.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y92.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y92.png;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y95.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y96.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y97.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y98.JPG;Yes;Yes;Yes;No;No;Yes;Yes;Yes
Y99.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y100.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y101.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y102.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y103.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y104.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y105.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y106.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y107.jpg;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
Y108.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y109.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y111.JPG;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
Y112.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y113.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y114.JPG;Yes;Yes;Yes;No;No;Yes;Yes;Yes
Y115.JPG;Yes;No;No;Yes;No;Yes;Yes;Yes
Y116.JPG;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
Y117.JPG;No;No;No;Yes;Yes;No;Yes;Yes
Y120.JPG;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
Y146.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y147.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y148.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y153.jpg;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
Y154.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y155.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y156.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y157.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y158.JPG;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
Y159.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y160.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y161.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y162.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y163.JPG;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
Y164.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y165.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y166.JPG;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
Y167.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y168.jpg;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes
Y169.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y170.JPG;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
Y180.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y181.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y182.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y183.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y184.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y185.jpg;No;No;No;No;No;No;Yes;Yes
Y186.jpg;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
Y187.jpg;Yes;Yes;No;No;No;Yes;Yes;Yes
Y188.jpg;Yes;Yes;Yes;No;No;Yes;Yes;Yes
Y192.JPG;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
Y193.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y194.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y195.JPG;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
Y242.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y243.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y244.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y245.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y246.JPG;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
Y247.JPG;No;No;No;No;No;No;No;No
Y248.JPG;No;Yes;No;No;No;Yes;Yes;No
Y249.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y250.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y251.JPG;No;No;No;No;No;No;Yes;No
Y252.jpg;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
Y253.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y254.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y255.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y256.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y257.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y258.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y259.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
